github,message,,,
https://github.com/omniauth/omniauth/commit/0d533c3615f7c54fa2b64d160fe7943c6fc52f78,Update README for next dev cycle.,,,
https://github.com/omniauth/omniauth/commit/ba115e1ac2c0364a8377c64946571c97f4b31cca,Prepare for 2.0.2 release,,,
https://github.com/omniauth/omniauth/commit/6c822c0c958abf04fe7200379c7f3dabfe8df95e,"Merge pull request #1033 from jsdalton/fix-mock-call

Ensure mock call verifies authenticity tokens with same logic as real call",,,
https://github.com/omniauth/omniauth/commit/04187da2c33d7a1045076e6ccc01fb980e824d91,Ensure mock call verifies authenticity tokens with same logic as real call,,,
https://github.com/omniauth/omniauth/commit/40e354c71094b663f928e1a987977690b67f2aa4,Prepare for next development phase.,,,
https://github.com/omniauth/omniauth/commit/982d1e45f0c0626484759f65d2a09dcb857ab2e6,Release 2.0.1,,,
https://github.com/omniauth/omniauth/commit/74e3efb717d3677744271ccf081542fa03410501,Update FUNDING.yml,,,
https://github.com/omniauth/omniauth/commit/e79621f1f271ab1d89a4178fcac067db49948cec,Add OmniAuth for Enterprise section,,,
https://github.com/omniauth/omniauth/commit/108f054837735a31430fca4b75a623f5d447375b,Update tested ruby versions,,,
https://github.com/omniauth/omniauth/commit/4e7781d95a4a85f3be59f33a0b00961e40e29bd3,Update README.md,,,
https://github.com/omniauth/omniauth/commit/8fde089dae8055ad7dfe9c566a534b7d1425ab09,"Merge pull request #1023 from omniauth/add-tidelift-funding

Add funding link for Tidelift",,,
https://github.com/omniauth/omniauth/commit/36accf23849e8bcd621e4ed850d5484ecbc50783,Add funding link for Tidelift,,,
https://github.com/omniauth/omniauth/commit/9782f2de9664a0c3f67242add5f862ad027a345f,"Merge pull request #1022 from omniauth/remove-2_0-indev

Remove 2_0-indev from CI tracking",,,
https://github.com/omniauth/omniauth/commit/f654faf709bbb3871b7fc7228aa481a5f96952e5,Remove 2_0-indev from CI tracking,,,
https://github.com/omniauth/omniauth/commit/29c8216e0de59097074224ebb92daf696a1326fa,"Merge pull request #1021 from omniauth/2_0-indev

Release v2.0.0",,,
https://github.com/omniauth/omniauth/commit/fe26931f2e7934e0800dd3fe646bef4a1ad2e192,Release 2.0.0,,,
https://github.com/omniauth/omniauth/commit/8a6b7a6f9e1b95dd98eb6ac22eeb8e7fb0df77a6,"Merge pull request #1016 from BobbyMcWho/add-to-readme

Add v2.0.0 text",,,
https://github.com/omniauth/omniauth/commit/19b3d347a41d8a55c706edba1a991d55cac577db,Add v2.0.0 text,,,
https://github.com/omniauth/omniauth/commit/97714aa6a5da8e3b7e76e52cccd82110ab204adf,Tag version,,,
https://github.com/omniauth/omniauth/commit/1956a95e6466f0bcefbe2cd4e444a14dad60a7b4,Fix deprecation warnings,,,
https://github.com/omniauth/omniauth/commit/1b784ffa5f128bea1a22d7d26477f73bb6b3cd08,Wrap mock_call in rescue,,,
https://github.com/omniauth/omniauth/commit/49ca57789a26eae3fc516615a32f16e46e9e786f,"Merge pull request #1015 from omniauth/make-sure-strategy-passes-rack-freeze

Make sure strategy passes rack freeze",,,
https://github.com/omniauth/omniauth/commit/e405613685394932bba0d1ffa8bb8fc484e4279c,Freeze omniauth in test to verify thread safety,,,
https://github.com/omniauth/omniauth/commit/d4c1ff0ffb0586f99490a1c3a427cfb40657cec9,"Dup options when a strategy is dup'd or cloned

This allows strategies to safely mutate their options without affecting
subsequent or concurrent requests.",,,
https://github.com/omniauth/omniauth/commit/cc7e285233ce77a18ac1c9664ef3982654d3aa01,"Merge pull request #903 from oliverguenther/fix/relative-url-roots

Deal with relative url root installations",,,
https://github.com/omniauth/omniauth/commit/f9a6c0fc8a457695a86100e2caae2a1f7a4213da,Fix failing specs,,,
https://github.com/omniauth/omniauth/commit/c606a00798a7f516c37c67a708864f9a3eb9f796,"Deal with relative url root installations

This commit allows OmniAuth to handle relative url root installations
by correctly prefixing the default `Strategy#request_path` and
`Strategy#callback_path` with `SCRIPT_NAME` as provided by Rack.

Also, in order to detect the full current path, uses
`Rack::Request#path` instead of `#path_info`, as the latter does not
include SCRIPT_NAME.

A deeper question remains: What should happen with custom callback and
request paths? I can't think of a case where a user with a relative url
root installation would *not* want to prefix its paths, regardless of
setting a custom path or not.
However, since some people may have configured custom paths in order to
deal with relative root, including this change may be breaking.",,,
https://github.com/omniauth/omniauth/commit/b33915c7d33d479c1560761fe7f24216c4bbb5c9,"Merge pull request #917 from pat/frozen-string-literals

Update for frozen-string-literal friendliness.",,,
https://github.com/omniauth/omniauth/commit/e1c5e9da364d840c9c1bcb60a78bfc431bdc283e,"Merge pull request #1014 from omniauth/frozen-string-support

Frozen string support",,,
https://github.com/h2o/h2o/commit/9d3820abc777d9030b4578352c6bd4c90e4751b7,"Merge pull request #2554 from h2o/gfx/dockerhub-login

ci: login DockerHub",,,
https://github.com/h2o/h2o/commit/6c43e526de468aa08c3b46e435b0789d529d885a,fix: use continue-on-error: true,,,
https://github.com/h2o/h2o/commit/867deaa2bc1b81ee31fe5db82d8cf78e953d141a,ci: login to DockerHub if secrets are available,,,
https://github.com/h2o/h2o/commit/a1c67d2d596443e0f54ea376f8b5d1625821fca5,"Merge pull request #2553 from jdamato-fsly/jdamato/fix-fallocate

Fix fallocate error message.",,,
https://github.com/h2o/h2o/commit/b8692d225a3ec52df622db93b41431d8e704567f,"Fix fallocate error message.

According to the documentation:

> RETURN VALUE
>       posix_fallocate() returns zero on success, or an error number on failure.  Note that errno is not set.

Since errno is not set by `posix_fallocate` potentially confusing error
messages can be printed since `h2o_perror` (called below) expects errno
to be set appropriately.

This change fixes this, so that h2o will print correct error messages if
`posix_fallocate` fails.",,,
https://github.com/h2o/h2o/commit/d80d883617a8d572954d20e478c7b6bd5d0c2c7d,"Merge pull request #2550 from h2o/kazuho/via-h3

[http3] set correct version number in the `via` header field",,,
https://github.com/h2o/h2o/commit/ef3c3e038fb48dd85c349a1068be48b48ed740af,"Merge pull request #2549 from h2o/gfx/fix_deprecated_warns

fix deprecated warnings by s/TLSv1_client_method/SSLv23_client_method/",,,
https://github.com/h2o/h2o/commit/1efc46e1fd7633985696845e2827ad59bfc85569,send correct major version number,,,
https://github.com/h2o/h2o/commit/15d576e8711b3f7632ebde6ce1bd546699393b60,fix: s/TLSv1_client_method/SSLv23_client_method/ because TSLv1_* is deprecated in the latest OpenSSL,,,
https://github.com/h2o/h2o/commit/e6a19454c117a5964bff505567ba7c5afe5d7150,"Merge pull request #2548 from h2o/kazuho/configurable-iw

[http3] add knob to configure IW",,,
https://github.com/h2o/h2o/commit/f8a725df5b454882334aa380a053322a509098ac,"Merge pull request #2546 from h2o/gfx/fix-gha-regressions

Fix regressions in GHA migration",,,
https://github.com/h2o/h2o/commit/528947e1b9a1726e7b803868f73c9dedca8da186,"Merge pull request #2547 from h2o/hfujita/fix-h2olog-usage

[h2olog] Fix parameter position in example usage",,,
https://github.com/h2o/h2o/commit/f20e31ea5bc59d17d2a07727264730134235d55d,add config knob to set IW,,,
https://github.com/h2o/h2o/commit/57196a3a3a0d65c5738219e1d969779afba2f9e0,extract https://github.com/h2o/quicly @ 8a1346e () at deps/quicly,,,
https://github.com/h2o/h2o/commit/4f143b23a47345103de6d7f75259ed668eabf6d2,ci: revert the change in check.mk in 311c93bfc75b37f51d4f01401ad0ed73cd7a7431,,,
https://github.com/h2o/h2o/commit/96cd8ee6b49f844fa2a164cb1ff18be0dddf2535,ci: remove redundancy,,,
https://github.com/h2o/h2o/commit/78e22b8bc622f4228997f4e0a801ea5c79d8b864,ci: refactor ci.yml to remove conditions in shell scripts,,,
https://github.com/h2o/h2o/commit/fbe835bf031f0ffef6b9844bcc2bbb71dce56478,"[h2olog] Fix parameter position in example usage

`-p` should appear right in front of a process ID.",,,
https://github.com/h2o/h2o/commit/b414dcf5bdc3477432d0c65abd3b8a1e736c94e1,ci: fix a regression that step scripts should have -e as the default does,,,
https://github.com/h2o/h2o/commit/311c93bfc75b37f51d4f01401ad0ed73cd7a7431,"ci: fix a regression in setting up CONTAINER_NAME

CONTAINER_NAME was just ignored because script(1) does not give env vars to child processes.
In addition, this commit uses '?=' in check.mk to let CONTAINER_NAME be overridable by env vars.",,,
https://github.com/h2o/h2o/commit/b1601c799f36c98897e173d817a61fbf77fefbcc,"Merge pull request #2541 from h2o/gfx/ci-update-bcc

ci: update iovisor/bcc from a revision of 0.11.0-6021958a to 0.12.0",,,
https://github.com/h2o/h2o/commit/1e7a768a13d2b9f5959c61c55a1e50b879ead447,"Revert ""ci: add linux-headers as a h2olog runtime dependencies""

This reverts commit 14f2950840e3552c95778a86150fb0fce746b9b2.

This is because build- and runtime kernels migh be different,
so the only way that works is to share the /usr/src with containers.",,,
https://github.com/h2o/h2o/commit/14f2950840e3552c95778a86150fb0fce746b9b2,ci: add linux-headers as a h2olog runtime dependencies,,,
https://github.com/h2o/h2o/commit/082d37da972b6dccf080afbe4f1519eb202371c6,"Merge pull request #2542 from h2o/kazuho/no-delay-on-listen-sock

call setsockopt(TCP_NODELAY) when the address family is unknown",,,
https://github.com/h2o/h2o/commit/58e813b29971d1dd25c036a08adae999f5d0bfd5,"Merge pull request #2543 from h2o/kazuho/h3-informational-send-immediately

[http3] send informational response as they become available",,,
https://github.com/h2o/h2o/commit/40c3ba1780ffb50c1e6d07bbe4cac73184a960e7,"test two cases, where 200 immediately follows 103, and another in which there is a delay",,,
https://github.com/h2o/h2o/commit/df25e700388d3d07b3e1043d14811d2513265f21,send (instead of buffering) informational response as they become available,,,
https://github.com/h2o/h2o/commit/abfce5895d76c35d5ed0fd9ec6a69eefbfaee18c,"Set `TCP_NODELAY` explicitly. Our understanding has been that when
using Linux, the property is inherited from the listening socket
when accept (2) returns a socket. But that assumption does not
always hold.",,,
https://github.com/h2o/h2o/commit/3e5703cc6a01e1f09cbe156107274dc764a36cf4,add TODO,,,
https://github.com/h2o/h2o/commit/8594fd254ee7bac7c4a65c61dbe2f46679876f79,try to set TCP_NODELAY when uncertain,,,
https://github.com/h2o/h2o/commit/96f6e81d10916b5c9793363685285b87a07623ec,add failure check,,,
https://github.com/h2o/h2o/commit/282642a91241c22b008230142ab4a58dacf91b22,"Merge pull request #2540 from h2o/kazuho/http3client-reserve-fix

[http3client] fix incorrect use of `h2o_buffer_reserve`",,,
https://github.com/h2o/h2o/commit/70a9c67cacebcca9bae604653609a9ee325cabf1,"ci: update iovisor/bcc from a revision of 0.11.0-6021958a to 0.12.0

in order to make sure h2olog work on GitHub Actions",,,
https://github.com/h2o/h2o/commit/27f20bc9e05411439e09dce5251f20448f71e1df,fix the struct name too (amends #2539),,,
https://github.com/h2o/h2o/commit/6420312f3e9128b76e1d54a54869be055ea74995,fix incorrect use of the reserve function,,,
https://github.com/h2o/h2o/commit/3f4f68473458217dc5d8732edc56405d0ddb0943,"Merge pull request #2537 from h2o/gfx/fix-docker-build-with-worktree

fix a cmake error that generate_gitrev.pl fails with an invalid .git metafile (i.e. a worktree inside docker containers)",,,
https://github.com/h2o/h2o/commit/ed9291cf7cec07438280d7b7471604e35e90a540,call generate_gitrev.pl only if DEV build,,,
https://github.com/h2o/h2o/commit/7e061922611649fd0af8c886c7421c98e563bf49,cmake: asking generate_gitrev.pl whether gitrev is available or not,,,
https://github.com/h2o/h2o/commit/8773fb6ccae7eaeadaef4c27a23a61bd6d94ad74,remove IF EXISTS gitrev.h (was my misunderstanding of the spec),,,
https://github.com/h2o/h2o/commit/e7a5993b652caf1746e4033ac0458889f6b6f2c0,improve the git repo check for gitrev.h,,,
https://github.com/h2o/h2o/commit/5b8160d5b0b8e7d13ac6c08d1d5cb34698ddb2d8,"Merge pull request #2539 from h2o/kazuho/conn-properties

Properties of a HTTP client connection can be something other than TLS attributes",,,
https://github.com/h2o/h2o/commit/f2b6fc769ce4df377ddc74fab20554a7a1dcd93d,socket as a property of the underlying connection,,,
https://github.com/h2o/h2o/commit/2da387743cffc41e956e09fde686544f75982e87,generalize the callback as an IF to obtain the properties of the underlying connection,,,
https://github.com/h2o/h2o/commit/1e5b714a8e4b240877e8d9dafb2be650bd308166,regen doc,,,
https://github.com/h2o/h2o/commit/519ac0e36a53bddfc1a4ff3eaa309d35b0872059,"Merge pull request #2524 from h2o/kazuho/h3client-api

Integrate http3client into httpclient",,,
https://github.com/h2o/h2o/commit/b277df8892517746bc771c29188d6f6447a8ec20,fix typo as suggested by @deweerdt,,,
https://github.com/h2o/h2o/commit/83b97a8748340ec9eb257315e54615c7bba0c966,"Merge pull request #2538 from h2o/toru/quicly-sync

extract https://github.com/h2o/quicly @ bcd70c0 () at deps/quicly",,,
https://github.com/h2o/h2o/commit/0b2f7e034979015e3473b38deb87d9d160cfbb43,extract https://github.com/h2o/quicly @ bcd70c0 () at deps/quicly,,,
https://github.com/h2o/h2o/commit/98b6c7e9a0131eecb9ec0555b3e7674536a6e2c7,"Merge pull request #2535 from h2o/gfx/ci-timeout

ci: add job-level `timeout-minutes: 60`",,,
https://github.com/h2o/h2o/commit/fe0a771a66b4e1adf4e50ca119031ce39a1903ca,"Merge pull request #2531 from h2o/kazuho/conn-count-toctou

[t/40max-connections.t] fix TOCTOU that leads to accepting more connections than configured",,,
https://github.com/h2o/h2o/commit/fd766b118ddebba6ca05d0d37dab16c622c69334,"Merge pull request #2536 from gfx/gfx/fix_h2olog_str_without_nul

h2olog: fix a bug that non-null-terminated strings are not handled correctly",,,
https://github.com/h2o/h2o/commit/c2a5699f38f2685ccdaf7ffdc9d673c56984c03b,apply autopep8 formatter,,,
https://github.com/h2o/h2o/commit/e219aaddc6e3b8ffc10b0975d9496f6d27969da5,regen generated_raw_tracer.cc,,,
https://github.com/h2o/h2o/commit/2fd91ac451ed3ec370f5613124bd64f4a53f8eec,"h2olog: let json_write_pair_[cn] require value_len for consistency, and to avoid unecessary use of strlen()",,,
https://github.com/h2o/h2o/commit/423a097e2673e80d1e68ded4d63dfa7ca67659f2,regen generated_raw_tracer.cc,,,
https://github.com/h2o/h2o/commit/cd28a12484bb2eea667164966453b17c67dcccef,h2olog: fix a bug that non-null-terminated strings are not handled correctly,,,
https://github.com/h2o/h2o/commit/9eb20b80803a9bf5d9bdaf718db468227ba7a8b6,ci: add job-level `timeout-minutes: 60`,,,
https://github.com/h2o/h2o/commit/5cc544c8e34a22f3ccf90039cbec9308e4ec1a97,"refactor the API used for obtaining TLS stats, add support for H3",,,
https://github.com/h2o/h2o/commit/6cc88616720d03ecd9c74a9e9faccf5522b31ac5,Merge branch 'master' into kazuho/h3client-api,,,
https://github.com/h2o/h2o/commit/678cd1f12a775d53ebdccdc982b74802a6e32c4d,merge the logic,,,
https://github.com/mumble-voip/mumble/commit/21fbacc7ea3a568ca28088ee547d2a9a2bbbce6a,"Merge pull request #4731: TRANSLATION: Remove empty nl_BE file

This language no longer exists on Transifex. (Removed empty duplicate to more generic language without locale.)
The file seems to not contain any translations.
There is the more general nl translation file.",,,
https://github.com/mumble-voip/mumble/commit/629ff23c43ceed2e64d738b88c1d35a8a80e24e4,"TRANSLATION: Remove empty nl_BE file

This no longer exists on Transifex.
The file seems to not contain any translations.
There is the more general nl translation file.",,,
https://github.com/mumble-voip/mumble/commit/803dd6db629fbe8c7cfd4b7d6e9c29fdb318b2a7,"Merge pull request #4730: TRANSLATION: Drop outdated translation file references

Previously, duplicate translation files were removed in three commits:
b208fe0 ca_ES
70091f8 el_GR
c043423 nb_NO

These files were not removed from the CMakeLists.txt and translations.pri.",,,
https://github.com/mumble-voip/mumble/commit/05e281d7406ee10ba68a78794255183e8f81b85a,"TRANSLATION: Drop outdated translation file references

Previously, duplicate translation files were removed in three commits:
b208fe09d19573c03a08ee2612c56d5fa0c05017 ca_ES
70091f8feaacd1d34d19f24de2f1812622856b55 el_GR
c0434236f16430e6a71454f8100c479c25c1f358 nb_NO

These files were not removed from the CMakeLists.txt and translations.pri.",,,
https://github.com/mumble-voip/mumble/commit/07e68ea39ee98cf9482d3cfbb7a334d52fcc589f,"Merge pull request #4729: TRANSLATION: Remove empty translations

These were requested and approved at some point in Transifex.
However, no work was ever done on translating to them.

With the imminent move to another translation platform,
we take this opportunity to prune empty translations from it.

These translations can be added upon request again, just like any other.
But they served no value as empty, dead translation files with no progress.",,,
https://github.com/mumble-voip/mumble/commit/c0b899a902dc00c8597000e07e2000da09495f6a,"TRANSLATION: Remove empty translations

These were requested and approved at some point in Transifex.
However, no work was ever done on translating to them.

With the imminent move to another translation platform,
we take this opportunity to prune empty translations from it.

These translations can be added upon request again, just like any other.
But they served no value as empty, dead translation files with no progress.",,,
https://github.com/mumble-voip/mumble/commit/68f8cd3f0d4b836698b8e73f6fc8da2f6e48e6c4,"Merge pull request #4724: CI(windows): Fix build number fetching script

I have no idea why but these changes make this work on my Windows 10 VM.
If this really solves the issue then this is a perfect illustration for
why batch is weird.",,,
https://github.com/mumble-voip/mumble/commit/7280013efe499ebf87fedf4b8efcc10fae345e18,"CI(windows): Fix build number fetching script

I have no idea why but these changes make this work on my Windows 10 VM.
If this really solves the issue then this is a perfect illustration for
why batch is weird.",,,
https://github.com/mumble-voip/mumble/commit/799559844c2fde292f85ce24a267cadf7eb4c9c4,Merge PR #4721: REFAC(client): Move CompletablePage class into dedicated file set,,,
https://github.com/mumble-voip/mumble/commit/84e10f7ca316f61b8f1b9af17142bb689fb99da6,"REFAC(client): Move CompletablePage class into dedicated file set

The class was defined in AudioWizard.cpp/.h, however AudioWizard is not the only user.

In fact, Cert.ui had to include AudioWizard.h in order to make use of CompletablePage.

This commit moves the class into a dedicated file set and changes the include header in AudioWizard.ui and Cert.ui.",,,
https://github.com/mumble-voip/mumble/commit/d40a19eb88cda61084da245a1b6cb8f32ef1b6e4,Merge PR #4713: BUILD(installer): Include g15-helper,,,
https://github.com/mumble-voip/mumble/commit/732cc7bc7302411dd2bba57db8710343a396846f,Merge PR #4718: CI(azure): Fix VERSION variable not being expanded correctly in curl call,,,
